epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,10036.3,0.76155,0.48373,0.95897,0.9426,0.92163,0.9503,0.79138,0.67342,0.44656,0.90273,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,10921.7,0.7613,0.48425,0.9588,0.94298,0.92706,0.95251,0.79251,0.67063,0.44344,0.90214,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,11777.2,0.76304,0.48481,0.95822,0.9457,0.92296,0.95221,0.79281,0.67107,0.44347,0.90169,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,12725.3,0.75995,0.48243,0.95923,0.94463,0.92234,0.95138,0.79274,0.67052,0.44406,0.90196,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,13678.6,0.75773,0.48302,0.96075,0.94305,0.92473,0.95595,0.79364,0.66863,0.44402,0.90134,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,14698.6,0.75943,0.48461,0.95875,0.94328,0.92421,0.9514,0.7917,0.66753,0.44337,0.90081,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,15787.7,0.75769,0.48399,0.95826,0.94454,0.92848,0.95269,0.79419,0.66625,0.4419,0.8995,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,16894.7,0.75587,0.48249,0.95998,0.94351,0.92258,0.95156,0.79235,0.66473,0.4412,0.8993,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,17911.5,0.75465,0.48176,0.95715,0.94597,0.92495,0.95645,0.7956,0.6655,0.44077,0.89964,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,18940.1,0.75425,0.47957,0.96019,0.94502,0.92783,0.95682,0.79688,0.66473,0.44194,0.90003,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,20101.6,0.75012,0.47706,0.95705,0.94469,0.92577,0.95202,0.79477,0.66433,0.44136,0.8998,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,21224.6,0.75408,0.48057,0.95667,0.94543,0.92665,0.95309,0.79699,0.66309,0.43995,0.89916,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,22336.4,0.74986,0.47729,0.95716,0.94685,0.92229,0.95145,0.79432,0.66375,0.43991,0.89925,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,23476.1,0.75149,0.47973,0.95669,0.94746,0.92064,0.95138,0.79392,0.66131,0.43997,0.89831,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,24609.9,0.74491,0.47485,0.95484,0.94558,0.92181,0.95115,0.79526,0.66132,0.43958,0.89793,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,25828.8,0.74952,0.47564,0.95594,0.94402,0.88409,0.91055,0.75612,0.66212,0.4377,0.89806,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,27236,0.75205,0.47642,0.95512,0.94903,0.88172,0.91061,0.75877,0.66117,0.43708,0.89739,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,33651.7,0.75122,0.47725,0.95688,0.94845,0.88832,0.91378,0.76386,0.65792,0.43559,0.89694,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,45867,0.74514,0.47389,0.95451,0.94593,0.87445,0.90132,0.75054,0.65757,0.43524,0.89728,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,51329.3,0.74303,0.4728,0.95331,0.94586,0.87943,0.90342,0.75331,0.65811,0.43457,0.89651,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,53272.1,0.74503,0.47377,0.9548,0.94538,0.8973,0.92264,0.76993,0.65711,0.43331,0.89585,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,55624.4,0.74707,0.47361,0.9558,0.94496,0.90046,0.92922,0.77866,0.65717,0.43435,0.89607,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,57108,0.74328,0.47155,0.95337,0.94058,0.89374,0.91991,0.76733,0.65557,0.43321,0.89613,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,58671.2,0.74104,0.47023,0.95213,0.94493,0.90178,0.9291,0.77478,0.6534,0.43269,0.8947,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,60235.7,0.74152,0.47005,0.95191,0.94188,0.90108,0.92354,0.77207,0.65332,0.43289,0.89442,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,61568.4,0.74264,0.47072,0.95144,0.9461,0.91648,0.9422,0.79079,0.6528,0.43202,0.89434,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,63244.1,0.73453,0.46598,0.94971,0.94363,0.88807,0.91223,0.76217,0.65145,0.43141,0.89393,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,65172.1,0.74319,0.4719,0.95239,0.94699,0.92914,0.95768,0.80051,0.65127,0.43041,0.89303,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,68836.5,0.73743,0.46748,0.95084,0.94816,0.90634,0.93145,0.78257,0.65091,0.43037,0.89263,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,70689.3,0.737,0.46752,0.94974,0.94384,0.83259,0.85377,0.7146,0.65061,0.43017,0.89285,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,72635.3,0.73619,0.46716,0.9518,0.94772,0.90406,0.92867,0.78055,0.65005,0.42937,0.89254,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,75779.4,0.74389,0.47259,0.95247,0.9446,0.89434,0.91839,0.76822,0.65034,0.42941,0.89257,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,77904,0.74009,0.46861,0.95203,0.94663,0.92536,0.95064,0.79734,0.64967,0.4292,0.89227,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,80015.7,0.73609,0.46533,0.95276,0.94406,0.87965,0.90307,0.7557,0.6484,0.42857,0.89189,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
